,Ticker_1,Ticker_2,DTW_Distance
0,1288,3988,335.33
1,998,1398,453.44000000000005
2,939,1398,923.47
3,939,998,1024.79
4,902,916,1077.4699999999998
5,525,2380,1198.53
6,857,992,1216.54
7,386,857,1291.75
8,2899,3800,1305.8899999999999
9,1919,2899,1339.13
10,762,883,1351.22
11,998,3988,1442.6100000000001
12,1171,2331,1543.33
13,1398,3988,1543.93
14,241,1919,1605.29
15,998,1288,1744.8600000000001
16,1919,2331,1766.64
17,1288,1398,1846.18
18,1171,1177,1856.46
19,916,3900,1870.7900000000004
20,241,2331,2113.51
21,868,3900,2139.41
22,386,728,2179.75
23,868,2007,2217.14
24,1919,3800,2321.76
25,525,868,2401.9799999999996
26,241,1171,2403.2599999999998
27,902,3900,2425.38
28,1093,3900,2436.05
29,386,992,2455.35
30,939,3988,2467.4
31,525,2007,2594.52
32,2331,2899,2600.5299999999997
33,868,916,2704.3799999999997
34,241,2899,2734.08
35,123,728,2762.79
36,939,1288,2769.6499999999996
37,1171,1919,2850.37
38,728,857,2864.9199999999996
39,175,881,3050.4700000000003
40,525,902,3102.2299999999996
41,836,1088,3129.39
42,1177,2331,3141.51
43,525,916,3162.4800000000005
44,868,1093,3189.08
45,241,1177,3211.28
46,728,992,3330.54
47,868,2380,3389.19
48,836,2328,3407.6800000000003
49,868,902,3525.8500000000004
50,981,2899,3570.8999999999996
51,2331,3800,3593.2
52,1093,2007,3623.16
53,2007,2380,3629.4700000000003
54,762,992,3651.91
55,883,992,3701.47
56,762,2328,3714.64
57,2007,3900,3719.27
58,241,3800,3725.0099999999998
59,902,2380,3746.08
60,688,2628,3751.12
61,881,1171,3763.85
62,916,1093,3788.5
63,881,1177,3816.7299999999996
64,916,2380,3831.5099999999998
65,981,2331,3855.53
66,981,3800,3935.1899999999996
67,1171,2899,3989.2599999999998
68,960,1093,3989.5200000000004
69,836,6030,4047.64
70,857,883,4053.1699999999996
71,291,1109,4098.549999999999
72,762,857,4109.55
73,981,1171,4134.48
74,1088,6030,4181.05
75,883,2328,4232.8
76,981,1919,4247.95
77,525,3900,4325.19
78,1177,1919,4393.27
79,902,1093,4434.15
80,2388,2601,4481.58
81,386,883,4738.34
82,386,762,4794.72
83,916,2007,4827.58
84,881,2331,4918.039999999999
85,123,386,4942.54
86,1171,3800,4981.93
87,2380,3900,4995.34
88,175,2331,5118.13
89,1088,2328,5122.389999999999
90,175,1171,5142.820000000001
91,902,2007,5146.29
92,2328,6030,5230.36
93,960,3900,5242.59
94,175,981,5476.26
95,981,1177,5487.719999999999
96,2628,6030,5548.280000000001
97,525,1093,5556.54
98,123,857,5627.709999999999
99,175,1177,5640.4
100,669,1099,5665.66
101,241,981,5712.8
102,1177,2899,5722.36
103,688,2388,5793.93
104,241,881,5982.050000000001
105,175,1919,6085.51
106,123,992,6092.110000000001
107,1093,2380,6226.69
108,881,981,6235.03
109,881,1919,6367.0599999999995
110,916,960,6386.08
111,762,836,6391.400000000001
112,836,883,6447.78
113,902,960,6509.329999999999
114,688,6030,6565.679999999999
115,1177,3800,6715.03
116,175,2899,6716.38
117,1088,2628,6728.910000000001
118,728,883,6918.09
119,175,241,6947.4400000000005
